id, accion, monto
2972282,depositar,20000
6555952,depositar,2000000
690260,depositar,20000
3222458,depositar,200000
8472448,depositar,200000
2707589,depositar,20000
2988155,depositar,1000
1194283,depositar,200000
442184,depositar,2000000
5375689,depositar,200000
3585204,depositar,200000
1234567,depositar,10000000
1050377,depositar,200000
5926801,depositar,10000000
924555,depositar,20000
7710931,depositar,2000000
2631239,depositar,2000000
4325483,depositar,200000
990681,depositar,2000
7725594,depositar,2000
3572259,depositar,200000
316990,depositar,20000
4720619,depositar,2000000
166905,depositar,20000
7321818,depositar,1000
2905577,depositar,20000
2394236,depositar,200000
4756027,depositar,2000000
1126906,depositar,2000
1942813,depositar,200000
2685362,depositar,20000
1410080,depositar,20000
3767406,depositar,2000
3893900,depositar,200000
4186413,depositar,2000000
5521434,depositar,2000000
9431724,depositar,200000
9286958,depositar,200000
6988757,depositar,20000
2051013,depositar,2000000
8771350,depositar,2000000
4004903,depositar,2000000
273679,depositar,20000
8270768,depositar,2000
1068077,depositar,2000000
6016983,depositar,2000000
823349,depositar,200000
9613166,depositar,20000
8951174,depositar,20000
7177799,depositar,2000000
6318324,depositar,200000
3219818,depositar,2000
609919,depositar,200000
3362789,depositar,20000
9184263,depositar,2000000
1873498,depositar,2000000
7681670,depositar,20000
6305135,depositar,2000000
5297770,depositar,2000000
7176690,depositar,2000
9480768,depositar,20000
371646,depositar,2000000
7001346,depositar,2000
895851,depositar,200000
2437674,depositar,2000
4015535,depositar,2000
6775809,depositar,2000000
4377957,depositar,200000
4528509,depositar,2000
9640131,depositar,20000
4693622,depositar,20000
4471742,depositar,20000
4996792,depositar,200000
3291816,depositar,2000
9717143,depositar,2000000
9365600,depositar,2000
4158096,depositar,20000
1698314,depositar,2000000
9348962,depositar,2000000
7349988,depositar,2000
5260239,depositar,10000000
3585204,retirar,100000
823349,retirar,100000
2905577,retirar,10000
5297770,retirar,1000000
1050377,retirar,100000
690260,retirar,10000
9348962,retirar,1000000
4720619,retirar,1000000
5926801,retirar,20000000
2437674,retirar,1000
1410080,retirar,10000
5260239,retirar,20000000
3767406,retirar,1000
895851,retirar,100000
8951174,retirar,10000
3291816,retirar,1000
4377957,retirar,100000
1873498,retirar,1000000
6555952,retirar,1000000
371646,retirar,1000000
4756027,retirar,1000000
166905,retirar,10000
4015535,retirar,1000
7349988,retirar,1000
6318324,retirar,100000
9613166,retirar,10000
8472448,retirar,100000
7725594,retirar,1000
6775809,retirar,1000000
4004903,retirar,1000000
4471742,retirar,10000
6016983,retirar,1000000
924555,retirar,10000
9286958,retirar,100000
273679,retirar,10000
2988155,retirar,20
1126906,retirar,1000
4693622,retirar,10000
1942813,retirar,100000
1068077,retirar,1000000
9184263,retirar,1000000
7177799,retirar,1000000
990681,retirar,1000
2631239,retirar,1000000
1194283,retirar,100000
9480768,retirar,10000
2685362,retirar,10000
3572259,retirar,100000
9717143,retirar,1000000
2707589,retirar,10000
5375689,retirar,100000
6305135,retirar,1000000
3362789,retirar,10000
4528509,retirar,1000
609919,retirar,100000
8270768,retirar,1000
2972282,retirar,10000
4158096,retirar,10000
5521434,retirar,1000000
1698314,retirar,1000000
1234567,retirar,20000000
3219818,retirar,1000
4996792,retirar,100000
9431724,retirar,100000
7001346,retirar,1000
8771350,retirar,1000000
7681670,retirar,10000
4186413,retirar,1000000
3222458,retirar,100000
4325483,retirar,100000
316990,retirar,10000
3893900,retirar,100000
7321818,retirar,20
9640131,retirar,10000
9365600,retirar,1000
442184,retirar,1000000
7176690,retirar,1000
6988757,retirar,10000
2051013,retirar,1000000
7710931,retirar,1000000
2394236,retirar,100000
